patient_id,item_id,rating,completed,nb_fois_realise
981,2,2.706363780743739,1,6
245,2,4.897599328636582,0,11
828,4,1.4311820867189007,0,5
975,0,1.8272194742198735,1,3
383,5,2.365250440126656,0,2
41,5,1.9142883079516406,1,4
284,1,3.5017679872240453,0,18
979,1,1.158202917345021,1,7
987,2,1.7097471370936637,0,4
922,4,2.1733889506344175,0,12
299,3,3.733383100317266,0,9
988,2,4.503459530324513,1,5
900,1,4.193967082212218,1,0
435,2,1.7283237330010195,0,10
368,4,3.2616230337642764,0,19
873,5,1.120090581378749,0,8
485,5,2.2421471014114447,1,15
948,5,4.223935179313306,0,14
435,5,2.826662854973358,0,4
805,3,1.5997652891033383,0,14
427,0,2.7542135259532508,1,0
180,3,1.7921317018489131,0,14
882,2,2.5727658314558512,0,3
897,1,2.9513338909913736,1,15
876,4,2.3982324500441137,0,6
693,2,4.747875801735443,1,7
339,0,3.250121190225528,1,1
490,4,4.371570695787587,1,11
494,4,4.042914188222321,1,1
972,4,3.644665237071106,1,13
729,2,2.987554993210329,0,18
162,0,1.00869513512635,0,19
557,2,3.4538704022083353,0,5
455,4,2.423829812009991,0,18
91,4,1.4710486672052752,0,16
104,1,2.7785050544483108,0,2
718,3,3.942213289133219,0,19
438,2,4.846711178794816,0,9
497,0,2.496419564488328,1,12
327,4,3.170893194819907,0,19
650,2,4.40497753345434,0,17
540,3,2.3359976798000592,1,18
508,2,1.5690289798832615,0,16
250,3,2.1275273249307562,1,7
964,2,4.596491319233552,0,17
190,1,1.637572433847351,0,6
46,2,2.3168842440271282,1,10
878,5,2.8585612420013624,0,2
250,1,4.38845289396368,1,1
774,3,4.750853134611899,1,18
884,4,2.7032412385330193,1,10
63,4,4.727816193414062,0,7
849,2,1.6458363794310182,1,10
319,0,1.6274091675854816,1,1
859,2,4.797003278539192,0,11
779,1,3.0387205341133248,1,8
523,1,1.7436313414158158,1,5
291,3,2.9519614823022473,0,11
28,2,4.132844621516206,0,17
650,3,4.307681462894095,0,4
436,0,4.455877026596969,1,16
965,4,3.278283612349674,1,15
596,4,4.467784057471521,0,11
585,2,3.0401208352130187,1,1
762,3,3.4282396095643093,1,15
735,3,4.034879209086581,0,0
46,0,2.701741170842034,0,19
416,3,1.294325948555099,0,1
592,5,2.4006654274307904,1,12
450,5,3.4957768671838414,0,15
632,1,1.7693294785579075,1,0
